学生ID,数学,英语,物理
315,60,67,54
316,59,90,88
317,65,52,51
318,80,61,81
319,89,96,74
320,64,60,77
321,56,81,80
322,72,62,87
323,88,98,71
324,78,80,61
325,58,64,78
326,70,87,80
327,88,70,98
328,69,59,95
329,55,97,93
330,93,97,56
331,61,71,51
332,78,68,74
333,74,71,98
334,98,94,88
335,82,63,51
336,81,98,50
337,55,61,82
338,54,77,80
339,92,58,71
340,84,97,72
341,82,86,73
342,84,55,74
343,93,82,99
344,69,93,85
345,63,69,92
346,83,93,56
347,68,78,91
348,53,75,68
349,70,66,96
350,73,67,67
351,89,81,94
352,95,54,90
353,82,57,69
354,94,83,60
355,50,95,84
356,50,71,69
357,76,55,89
358,81,71,80
359,86,55,92
360,76,65,53
361,58,87,66
362,72,82,55
363,58,76,91
364,77,93,71
365,94,98,85
366,62,60,56
367,69,73,61
368,72,69,62
369,81,100,92
370,73,89,60
371,71,69,86
372,75,65,80
373,56,93,74
374,64,74,67
375,95,96,93
376,55,58,61
377,75,67,60
378,86,64,97
379,71,86,86
380,71,61,65
381,99,71,97
382,86,82,51
383,90,98,88
384,54,79,88
385,68,94,71
386,87,92,69
387,70,53,86
388,53,83,96
389,66,89,52
390,67,99,62
391,78,78,86
392,100,80,85
393,55,88,67
394,94,62,80
395,61,58,97
396,57,97,78
397,77,64,62
398,53,91,94
399,74,88,76
400,96,87,51
401,76,53,53
402,97,73,78
403,71,53,96
404,59,92,89
405,66,100,91
406,52,73,56
407,57,75,89
408,83,52,75
409,58,55,68
410,56,79,54
411,60,61,53
412,96,84,64
413,88,91,78
414,99,89,76
415,85,50,97
416,76,99,93
417,66,70,60
418,55,61,58
419,55,100,91
420,52,54,64
421,90,53,65
422,60,60,52
423,57,50,78
424,52,69,98
425,61,79,88
426,59,55,91
427,69,97,95
428,72,78,63
429,73,54,80
430,61,63,65
431,84,99,86
432,81,66,78
433,50,64,93
434,57,60,72
435,69,74,86
436,89,85,61
437,78,75,67
438,92,53,95
439,87,62,64
440,64,75,63
441,69,81,75
442,78,50,81
443,94,91,100
444,85,70,80
445,62,86,75
446,88,85,89
447,60,71,96
448,94,69,67
449,71,65,92
450,63,68,55
451,88,80,89
452,59,97,95
453,60,66,70
454,88,93,57
455,87,99,76
456,98,59,88
457,61,56,71
458,53,58,87
459,78,61,77
460,86,99,89
461,68,53,60
462,81,100,55
463,83,53,57
464,97,97,60
465,93,88,78
466,90,69,77
467,94,57,88
468,92,59,85
469,73,50,80
470,86,63,92
471,97,51,86
472,97,91,58
473,94,91,94
474,95,86,81
475,75,85,88
476,60,97,52
477,70,89,84
478,96,98,91
479,53,59,77
480,100,100,69
481,65,75,53
482,56,69,100
483,92,55,67
484,94,64,53
485,93,67,51
486,62,85,67
487,66,90,81
488,66,74,96
489,58,95,57
490,51,79,54
491,75,66,94
492,93,68,86
493,84,76,96
494,83,77,64
495,80,61,73
496,81,85,80
497,63,63,81
498,54,52,51
499,55,78,55
500,96,60,98
501,71,80,57
502,66,95,75
503,51,77,72
504,91,54,54
505,78,82,68
506,58,55,55
507,55,90,63
508,70,90,76
509,65,54,67
510,88,71,73
511,60,82,81
512,61,77,71
513,71,52,83
514,77,50,90
515,62,80,78
516,75,62,69
517,67,55,90
518,88,86,68
519,80,93,82
520,85,87,96
521,100,54,73
522,62,62,78
523,62,74,97
524,55,54,71
525,52,89,91
526,71,52,99
527,79,79,61
528,99,80,62
529,75,64,69
530,70,55,91
531,82,66,60
532,59,69,88
533,52,57,50
534,74,72,68
535,90,83,71
536,60,65,84
537,61,99,86
538,70,70,61
539,57,66,51
540,67,77,83
541,53,63,80
542,81,91,58
543,53,60,52
544,82,74,62
545,87,77,70
546,83,98,52
547,65,57,78
548,94,67,75
549,90,71,91
550,56,57,55
551,100,56,65
552,64,62,69
553,96,64,68
554,50,52,55
555,56,50,97
556,50,75,84
557,57,53,63
558,71,56,83
559,69,59,52
560,72,78,88
561,92,65,61
562,86,79,55
563,83,87,96
564,79,97,77
565,78,58,51
566,77,54,98
567,57,90,99
568,59,72,64
569,78,77,98
570,59,72,96
571,61,84,60
572,97,80,57
573,51,75,89
574,87,62,99
575,69,99,69
576,54,63,92
577,87,72,53
578,71,64,97
579,63,66,54
580,74,54,95
581,80,88,84
582,63,68,75
583,88,71,55
584,100,59,52
585,63,56,81
586,64,100,53
587,100,79,85
588,52,81,56
589,85,82,53
590,76,100,71
591,68,55,99
592,73,92,70
593,56,75,83
594,90,54,58
595,75,84,93
596,87,63,60
597,99,85,52
598,81,52,97
599,94,80,67
600,77,52,78
601,71,76,56
602,78,65,65
603,64,100,97
604,71,73,52
605,96,60,95
606,65,88,85
607,79,66,52
608,63,96,81
609,51,67,74
610,83,64,100
611,94,71,50
612,82,76,53
613,62,64,74
614,90,82,79
615,65,69,93
616,66,72,55
617,72,61,92
618,84,84,56
619,85,75,98
620,80,84,94
621,61,56,58
622,63,88,79
623,59,93,87
624,51,54,54
625,93,93,74
626,74,88,65
627,74,89,71
628,77,80,69
629,61,53,51
630,83,85,77
631,77,86,72
632,79,59,56
633,95,97,88
634,69,87,61
635,89,58,65
636,91,60,82
637,53,68,61
638,66,63,83
639,60,54,66
640,74,82,74
641,100,77,61
642,66,83,85
643,77,84,93
644,99,76,65
645,69,86,78
646,51,59,60
647,63,61,89
648,84,93,88
649,99,79,89
650,68,84,77
651,76,61,60
652,81,83,88
653,59,67,53
654,71,73,51
655,73,55,63
656,95,51,54
657,65,70,64
658,91,66,80
659,87,71,60
660,88,53,95
661,96,88,95
662,93,65,99
663,84,60,96
664,57,93,62
665,51,88,77
666,69,74,98
667,58,85,54
668,82,50,52
669,92,84,59
670,76,92,80
671,84,80,96
672,84,57,57
673,89,87,85
674,60,50,91
675,50,69,93
676,93,60,75
677,58,70,92
678,67,99,61
679,83,88,61
680,73,75,72
681,78,81,59
682,97,78,64
683,93,75,58
684,70,83,72
685,82,80,89
686,69,79,93
687,63,67,53
688,52,52,60
689,81,75,61
690,52,62,83
691,66,73,69
692,76,65,65
693,93,50,93
694,52,83,84
695,74,81,67
696,83,81,97
697,96,63,55
698,92,60,62
699,61,72,70
700,52,52,63
701,91,54,83
702,100,70,81
703,89,59,88
704,97,69,100
705,64,66,95
706,86,50,92
707,77,100,76
708,79,70,94
709,99,72,63
710,96,73,89
711,51,94,84
712,64,60,76
713,63,99,68
714,57,59,56
715,68,84,58
716,53,71,83
717,71,70,68
718,55,58,85
719,73,79,83
720,94,84,61
721,62,90,68
722,51,55,82
723,87,50,100
724,66,76,59
725,68,80,64
726,74,60,50
727,83,79,76
728,96,80,67
729,78,50,99
730,78,94,89
731,78,97,90
732,57,59,64
733,85,80,60
734,59,63,76
735,51,70,54
736,62,80,50
737,94,91,59
738,77,89,62
739,68,53,93
740,58,60,84
741,78,54,90
742,53,93,59
743,62,52,89
744,65,70,65
745,81,78,72
746,81,55,59
747,96,89,53
748,52,100,69
749,86,98,89
750,80,99,56
751,74,85,97
752,58,92,56
753,93,95,83
754,83,64,84
755,74,97,87
756,91,58,64
757,64,56,82
758,72,58,53
759,100,59,51
760,64,70,71
761,71,60,75
762,95,98,61
763,92,99,57
764,98,50,79
765,96,93,80
766,55,80,56
767,70,83,52
768,71,59,59
769,58,74,50
770,76,65,96
771,89,57,58
772,57,50,60
773,52,67,65
774,64,85,52
775,67,74,87
776,52,67,81
777,72,59,73
778,78,69,64
779,80,52,98
780,56,91,90
781,52,62,93
782,55,82,77
783,66,76,85
784,91,77,54
785,70,87,64
786,67,96,63
787,100,59,68
788,55,56,83
789,69,52,94
790,52,72,83
791,81,70,95
792,79,73,58
793,72,85,62
794,91,70,98
795,62,57,50
796,76,76,74
797,92,61,55
798,63,54,78
799,58,50,78
800,63,96,95
801,98,90,75
802,85,51,56
803,76,61,84
804,56,75,57
805,83,62,55
806,76,51,60
807,81,95,94
808,87,59,63
809,82,67,97
810,58,57,65
811,54,67,100
812,94,59,77
813,79,51,52
814,53,97,82
815,82,87,73
816,64,78,74
817,85,74,78
818,63,86,90
819,87,92,87
820,84,73,54
821,76,95,99
822,74,53,60
823,65,77,60
824,79,73,79
825,88,92,77
826,95,54,99
827,100,55,81
828,66,68,94
829,65,84,89
830,72,64,80
831,61,82,78
832,98,65,71
833,66,98,67
834,77,71,92
835,51,91,58
836,75,82,77
837,60,93,68
838,85,82,57
839,74,68,70
840,82,57,70
841,90,87,59
842,78,91,82
843,58,56,98
844,50,77,66
845,80,94,76
846,98,83,96
847,63,63,94
848,74,98,81
849,55,72,99
850,91,60,58
851,98,100,71
852,84,69,53
853,60,100,97
854,93,80,99
855,75,95,99
856,60,52,51
857,55,81,76
858,100,58,70
859,53,98,97
860,54,93,63
861,73,69,98
862,53,57,55
863,90,92,78
864,69,60,82
865,90,76,54
866,92,53,55
867,81,92,97
868,57,55,68
869,92,78,68
870,69,98,79
871,73,90,80
872,53,59,68
873,79,61,74
874,85,94,66
875,66,66,74
876,93,98,55
877,73,56,74
878,68,93,97
879,85,91,90
880,64,53,67
881,84,66,70
882,75,56,76
883,55,59,58
884,97,87,62
885,82,96,77
886,55,61,75
887,76,97,95
888,57,67,93
889,54,56,62
890,92,72,61
891,85,73,96
892,74,84,91
893,72,97,90
894,75,66,82
895,83,64,79
896,74,50,65
897,56,66,65
898,56,91,66
899,57,55,98
900,55,80,64
901,66,58,81
902,100,77,84
903,97,83,95
904,62,70,58
905,76,89,87
906,90,81,74
907,55,78,59
908,99,100,97
909,70,69,85
910,99,74,87
911,76,83,100
912,98,77,50
913,84,98,60
914,63,87,54
915,91,60,95
916,81,95,62
917,85,88,73
918,64,98,56
919,71,69,84
920,99,53,93
921,82,89,61
922,50,78,58
923,80,54,94
924,75,90,61
925,90,58,53
926,93,55,69
927,98,88,69
928,85,81,65
929,57,79,51
930,54,75,61
931,83,52,70
932,92,50,65
933,82,55,76
934,88,62,92
935,67,97,66
936,60,77,50
937,54,98,73
938,50,95,66
939,73,58,76
940,67,84,82
941,62,100,72
942,77,77,57
943,62,51,61
944,68,60,89
945,78,57,71
946,99,61,72
947,57,50,65
948,89,92,93
949,89,98,75
950,98,70,72
951,65,67,57
952,93,53,100
953,95,64,96
954,91,62,53
955,60,53,67
956,77,90,93
957,76,98,81
958,65,69,61
959,54,77,77
960,55,81,53
961,52,61,74
962,99,53,53
963,63,68,89
964,96,97,62
965,72,89,62
966,92,90,75
967,78,71,71
968,50,59,60
969,94,97,59
970,71,50,62
971,88,93,78
972,64,56,66
973,62,72,54
974,59,77,62
975,82,78,65
976,78,100,92
977,81,78,72
978,97,79,52
979,77,70,59
980,58,74,55
981,58,100,62
982,64,86,51
983,76,50,77
984,52,63,85
985,73,60,72
986,59,97,70
987,52,61,58
988,69,83,66
989,86,83,80
990,85,92,53
991,56,100,67
992,96,50,81
993,86,73,67
994,69,79,63
995,73,70,99
996,77,69,91
997,95,99,56
998,51,88,99
999,86,64,87
1000,57,74,51
1001,92,90,79
1002,78,78,50
1003,98,70,51
1004,66,90,88
1005,81,53,97
1006,93,96,84
1007,85,54,92
1008,85,68,100
1009,55,65,72
1010,86,80,85
1011,53,58,71
1012,99,65,64
1013,76,69,65
1014,81,69,56
1015,75,83,55
1016,88,74,67
1017,76,70,83
1018,83,91,74
1019,65,71,52
1020,72,74,88
1021,53,76,61
1022,57,56,53
1023,97,71,67
1024,72,70,85
1025,78,72,66
1026,65,99,57
1027,85,69,58
1028,56,72,81
1029,64,66,68
1030,71,86,93
1031,91,69,79
1032,51,69,62
1033,84,72,51
1034,60,67,56
1035,74,82,59
1036,60,96,83
1037,88,69,65
1038,87,73,64
1039,60,83,71
1040,63,58,71
1041,53,60,76
1042,55,83,82
1043,88,57,94
1044,50,51,91
1045,99,63,53
1046,100,53,66
1047,89,76,76
1048,50,99,73
1049,85,52,76
1050,62,95,59
1051,97,67,60
1052,90,73,96
1053,57,70,93
1054,88,74,51
1055,73,69,80
1056,60,55,73
1057,80,82,73
1058,74,70,73
1059,92,90,86
1060,82,72,58
1061,90,69,61
1062,88,75,90
1063,54,87,67
1064,71,88,80
1065,91,68,77
1066,88,85,56
1067,99,60,58
1068,83,52,80
1069,89,85,73
1070,88,72,86
1071,89,82,80
1072,81,82,56
1073,86,98,68
1074,92,67,59
1075,61,55,83
1076,80,81,51
1077,62,81,83
1078,91,79,97
1079,96,89,58
1080,72,97,76
1081,63,98,61
1082,95,92,79
1083,98,53,100
1084,56,100,64
1085,88,84,75
1086,96,58,78
1087,79,58,89
1088,86,68,94
1089,53,96,63
1090,81,60,64
1091,77,85,56
1092,67,52,58
1093,63,61,93
1094,92,56,59
1095,99,50,64
1096,96,63,81
1097,65,100,58
1098,68,90,72
1099,89,81,90
1100,73,57,64
1101,76,60,63
1102,74,83,54
1103,59,51,97
1104,62,70,85
1105,58,68,78
1106,66,99,51
1107,54,63,75
1108,78,71,94
1109,78,96,69
1110,85,100,99
1111,71,80,100
1112,82,93,86
1113,99,74,81
1114,97,94,64
1115,85,78,79
1116,84,54,56
1117,59,80,87
1118,73,50,50
1119,76,52,66
1120,90,68,61
1121,61,77,54
1122,96,98,97
1123,80,98,50
1124,57,54,75
1125,66,57,65
1126,75,68,83
1127,97,90,70
1128,75,61,93
1129,93,52,85
1130,75,82,55
1131,82,78,80
1132,65,66,61
1133,68,76,66
1134,91,79,92
1135,70,85,87
1136,96,94,68
1137,71,60,64
1138,69,96,55
1139,61,73,79
1140,83,71,53
1141,99,73,58
1142,93,75,50
1143,73,97,85
1144,66,82,85
1145,96,68,69
1146,100,51,99
1147,74,82,81
1148,61,81,69
1149,90,65,81
1150,79,95,58
1151,56,87,50
1152,77,87,78
1153,64,59,93
1154,59,75,53
1155,68,53,90
1156,50,99,100
1157,100,89,52
1158,84,80,74
1159,84,68,61
1160,95,74,69
1161,77,55,58
1162,81,57,68
1163,89,53,99
1164,64,55,85
1165,52,63,87
1166,99,80,72
1167,62,97,77
1168,86,61,71
1169,67,83,60
1170,68,98,56
1171,88,91,82
1172,68,91,88
1173,64,60,72
1174,71,68,67
1175,79,91,55
1176,56,100,90
1177,94,91,87
1178,82,76,65
1179,67,97,87
1180,74,78,53
1181,68,75,93
1182,66,68,61
1183,82,62,81
1184,97,60,79
1185,96,96,78
1186,85,74,69
1187,63,90,81
1188,72,72,55
1189,64,72,95
1190,77,90,65
1191,88,64,99
1192,57,80,69
1193,83,92,97
1194,63,52,91
1195,64,84,97
1196,80,61,82
1197,99,86,86
1198,76,63,91
1199,91,76,86
1200,97,55,88
1201,64,86,69
1202,56,71,57
1203,85,91,63
1204,72,71,66
1205,90,76,86
1206,51,80,68
1207,73,100,73
1208,71,60,82
1209,87,74,56
1210,75,84,68
1211,82,80,80
1212,79,70,97
1213,58,91,57
1214,74,54,86
1215,80,65,55
1216,73,62,79
1217,69,88,58
1218,56,92,52
1219,68,78,52
1220,80,83,67
1221,53,70,70
1222,58,50,54
1223,89,91,51
1224,70,73,58
1225,76,73,90
1226,77,65,59
1227,88,97,75
1228,94,74,80
1229,72,69,70
1230,94,81,64
1231,60,60,79
1232,56,52,92
1233,61,58,54
1234,93,59,59
1235,65,67,88
1236,63,50,91
1237,58,72,96
1238,84,68,79
1239,84,68,81
1240,56,65,89
1241,56,78,69
1242,86,61,77
1243,68,67,71
1244,54,57,77
1245,54,85,67
1246,77,80,63
1247,86,71,94
1248,94,54,94
1249,63,88,86
1250,82,73,57
1251,84,84,100
1252,79,93,50
1253,66,98,56
1254,98,71,97
1255,58,100,84
1256,80,59,94
1257,58,57,84
1258,95,79,88
1259,99,100,80
1260,95,59,97
1261,95,97,55
1262,100,69,52
1263,66,80,77
1264,96,65,99
1265,75,93,68
1266,94,87,60
1267,68,69,72
1268,85,68,73
1269,95,96,95
1270,88,90,100
1271,89,74,86
1272,59,85,60
1273,86,70,94
1274,92,79,55
1275,82,81,73
1276,52,66,90
1277,97,79,100
1278,63,100,68
1279,54,57,99
1280,73,50,85
1281,59,71,74
1282,82,55,96
1283,54,77,89
1284,58,60,50
1285,90,66,50
1286,65,85,79
1287,55,81,88
1288,86,83,79
1289,65,55,100
1290,55,58,81
1291,51,88,69
1292,70,82,70
1293,61,96,82
1294,96,78,71
1295,83,75,58
1296,69,52,63
1297,58,65,63
1298,81,85,79
1299,62,60,71
1300,86,64,96
1301,62,93,90
1302,93,62,96
1303,93,57,81
1304,50,97,69
1305,99,94,57
1306,86,90,96
1307,97,58,62
1308,82,91,90
1309,58,75,64
1310,90,98,64
1311,60,87,68
1312,83,86,87
1313,89,63,94
1314,84,85,92
1315,67,96,67
1316,92,88,63
1317,62,93,50
1318,100,100,94
1319,92,55,69
1320,69,79,66
1321,52,69,80
1322,94,60,100
1323,62,57,91
1324,65,50,100
1325,99,85,55
1326,81,92,99
1327,87,84,92
1328,70,73,94
1329,92,76,61
1330,60,51,96
1331,96,81,92
1332,51,95,90
1333,61,54,81
1334,64,67,60
1335,50,77,68
1336,81,89,61
1337,52,54,88
1338,84,58,69
1339,85,94,91
1340,50,56,89
1341,55,96,87
1342,63,80,51
1343,78,96,97
1344,57,84,94
1345,61,54,79
1346,72,97,72
1347,71,68,92
1348,92,91,61
1349,70,81,52
1350,90,97,92
1351,71,100,81
1352,79,91,88
1353,89,58,56
1354,74,84,82
1355,53,82,53
1356,69,88,61
1357,62,81,66
1358,60,80,95
1359,100,82,54
1360,95,80,54
1361,100,58,85
1362,83,59,58
1363,88,70,91
1364,73,96,87
1365,65,87,61
1366,94,70,56
1367,51,85,71
1368,52,74,93
1369,59,81,89
1370,89,55,82
1371,66,55,61
1372,57,81,70
1373,84,90,53
1374,54,78,53
1375,99,61,82
1376,100,79,64
1377,74,98,77
1378,53,51,99
1379,57,70,100
1380,82,73,86
1381,64,53,67
1382,72,56,51
1383,82,74,92
1384,66,82,67
1385,52,60,99
1386,87,61,63
1387,86,59,92
1388,62,51,56
1389,67,82,99
1390,85,51,95
1391,67,75,73
1392,60,97,57
1393,63,60,75
1394,50,85,60
1395,56,77,59
1396,70,82,57
1397,78,76,62
1398,60,71,62
1399,98,97,58
1400,85,50,54
1401,92,56,97
1402,95,76,53
1403,70,95,76
1404,76,57,96
1405,97,66,78
1406,51,83,88
1407,85,83,50
1408,85,86,54
1409,92,98,79
1410,74,65,76
1411,92,82,99
1412,51,82,55
1413,77,75,52
1414,78,98,74
1415,95,85,74
1416,63,55,72
1417,96,85,94
1418,97,91,99
1419,79,78,90
1420,60,89,98
1421,91,96,88
1422,53,100,55
1423,75,67,51
1424,85,53,57
1425,68,57,92
1426,69,94,100
1427,69,80,88
1428,83,65,80
1429,61,60,80
1430,92,86,86
1431,75,85,100
1432,86,94,63
1433,64,56,84
1434,95,53,76
1435,60,81,96
1436,73,76,52
1437,52,90,59
1438,75,91,91
1439,77,72,54
1440,90,72,52
1441,51,96,57
1442,92,80,73
1443,69,51,91
1444,88,96,64
1445,53,77,83
1446,70,97,65
1447,55,96,86
1448,77,64,95
1449,73,85,70
1450,63,100,50
1451,59,66,56
1452,87,54,71
1453,94,94,87
1454,67,64,79
1455,59,76,50
1456,91,97,85
1457,99,73,84
1458,58,66,80
1459,79,98,64
1460,51,92,61
1461,67,59,55
1462,95,67,68
1463,58,79,100
1464,50,92,50
1465,64,51,94
1466,61,83,89
1467,78,67,50
1468,79,55,51
1469,63,98,80
1470,100,78,75
1471,90,87,79
1472,86,97,77
1473,56,75,97
1474,77,60,97
1475,99,94,90
1476,76,78,61
1477,73,51,70
1478,82,71,73
1479,99,68,61
1480,56,75,60
1481,98,64,68
1482,69,68,99
1483,63,50,71
1484,53,98,65
1485,50,87,82
1486,96,53,95
1487,87,81,59
1488,76,85,67
1489,71,57,75
1490,89,96,63
1491,71,84,83
1492,69,68,83
1493,89,64,57
1494,51,67,87
1495,100,56,93
1496,80,99,86
1497,71,82,90
1498,51,90,74
1499,86,96,55
1500,72,79,93
1501,72,57,82
1502,92,56,98
1503,79,58,74
1504,80,83,51
1505,67,94,62
1506,56,77,90
1507,97,99,60
1508,76,96,71
1509,81,71,53
1510,85,82,68
1511,97,92,96
1512,71,71,76
1513,86,86,100
1514,82,63,75
1515,64,62,67
1516,62,55,99
1517,90,95,93
1518,73,55,92
1519,100,85,77
1520,99,76,94
1521,94,59,75
1522,55,88,94
1523,68,99,80
1524,62,57,87
1525,98,54,81
1526,52,61,97
1527,80,85,54
1528,87,67,68
1529,73,71,85
1530,83,69,75
1531,67,100,72
1532,74,53,72
1533,95,83,94
1534,62,71,100
1535,74,83,95
1536,53,90,59
1537,63,80,61
1538,85,89,55
1539,79,66,94
1540,80,85,95
1541,95,63,81
1542,51,87,71
1543,81,63,79
1544,77,64,64
1545,70,79,91
1546,56,82,79
1547,88,70,62
1548,86,79,60
1549,76,72,100
1550,86,51,51
1551,88,78,60
1552,73,68,76
1553,99,53,76
1554,52,94,55
1555,94,82,69
1556,69,64,92
1557,64,88,58
1558,96,72,82
1559,98,81,87
1560,76,70,80
1561,83,81,83
1562,57,86,51
1563,64,63,90
1564,96,68,51
1565,88,56,76
1566,57,69,52
1567,85,87,73
1568,62,87,64
1569,86,80,97
1570,71,86,94
1571,72,98,94
1572,74,58,75
1573,54,67,82
1574,55,52,99
1575,69,59,97
1576,82,57,100
1577,76,56,99
1578,85,62,52
1579,94,53,88
1580,51,91,69
1581,100,84,75
1582,56,80,91
1583,64,99,95
1584,99,91,54
1585,100,90,94
1586,85,78,73
1587,51,78,90
1588,72,75,88
1589,65,72,55
1590,57,100,60
1591,65,66,92
1592,74,98,70
1593,52,95,58
1594,57,80,94
1595,84,70,100
1596,91,76,100
1597,83,92,51
1598,51,76,89
1599,85,73,94
1600,92,92,92
1601,63,55,63
1602,62,53,92
1603,77,80,86
1604,91,72,91
1605,61,94,51
1606,96,56,54
1607,75,72,87
1608,70,73,59
1609,100,90,100
1610,89,89,85
1611,88,51,79
1612,78,63,63
1613,80,59,78
1614,55,89,57
1615,79,84,51
1616,53,67,97
1617,71,100,78
1618,51,83,58
1619,95,82,97
1620,59,58,82
1621,64,55,57
1622,60,87,52
1623,66,72,57
1624,51,76,92
1625,99,80,81
1626,74,98,50
1627,83,69,99
1628,72,87,52
1629,96,92,99
1630,81,97,59
1631,92,75,85
1632,54,53,78
1633,72,100,78
1634,64,69,61
1635,70,56,50
1636,55,91,62
1637,95,61,69
1638,99,86,52
1639,66,79,72
1640,56,63,57
1641,56,59,50
1642,80,64,67
1643,73,92,96
1644,90,98,91
1645,84,100,80
1646,84,100,82
1647,99,71,60
1648,72,93,94
1649,58,50,83
1650,72,64,75
1651,87,98,80
1652,57,52,76
1653,99,86,75
1654,80,52,68
1655,85,99,97
1656,52,77,61
1657,91,89,52
1658,87,92,59
1659,89,74,70
1660,95,63,98
1661,74,55,73
1662,71,78,85
1663,100,65,85
